Time_s,Tank_Pressure_bar,Comb_Pressure_Fwd_bar,Comb_Pressure_Aft_bar,Thrust_N
3.1384,25.92592468,26.78864954,19.75419675,356.0987411
3.1386,25.91510658,26.80724274,19.74314757,355.9693595
3.1388,25.84118902,26.80693113,19.7483278,355.7147399
3.139,25.86717988,26.8147213,19.75350789,355.6479852
3.1392,25.86687919,26.81711016,19.75598307,355.7064701
3.1394,25.88235288,26.80059525,19.73682007,355.5144804
3.1396,25.75060041,26.85429367,19.74740957,355.8234355
3.1398,25.75555907,26.84317963,19.7336565,355.7566823
3.14,25.78154937,26.84556802,19.72801776,355.8777789
3.1402,25.81279695,26.8155515,19.6845142,355.7484111
3.1404,25.87033289,26.85574535,19.67076233,355.7442755
3.1406,25.95415628,26.83383042,19.6759428,355.6149121
3.1408,25.72777356,26.84702002,19.67030498,355.2350988
3.141,25.82736956,26.84670791,19.68630338,354.9805192
3.1412,25.90067535,26.85449654,19.68337003,354.6633336
3.1414,25.87408666,26.80288024,19.69125455,354.4087664
3.1416,25.85275604,26.76746624,19.70725213,354.4046461
3.1418,25.77885199,26.79955687,19.6880923,354.4005258
3.142,25.93101487,26.77224408,19.7067939,354.2711878
3.1422,25.83082527,26.76113246,19.72279073,354.329677
3.1424,25.86732541,26.77432162,19.71174425,354.5759869
3.1426,25.8827961,26.79561054,19.72233212,354.822291
3.1428,25.8351814,26.77099903,19.73291974,354.7555597
3.143,25.86116614,26.77068777,19.7462113,354.8140402
3.1432,25.87663635,26.81357544,19.71623587,355.0603326
3.1434,25.739656,26.80246407,19.69707767,354.9309968
3.1436,25.81820935,26.8048523,19.70766507,355.0520759
3.1438,25.81790915,26.8234395,19.71554814,354.7975385
3.144,25.7755552,26.81502819,19.62878957,354.9186162
3.1442,25.90141529,26.82821528,19.66641747,355.039691
3.1444,25.75918599,26.8144046,19.6661888,354.8477624
3.1446,25.75888646,26.83029109,19.65514433,355.1566331
3.1448,25.81640816,26.81378101,19.64950795,355.0899046
3.145,25.80033872,26.81616887,19.64927946,355.3987651
3.1452,25.89990941,26.78076199,19.63823556,355.2694381
3.1454,25.75768836,26.76425304,19.65693395,355.0775175
3.1456,25.74687637,26.76664137,19.67292811,355.0733885
3.1458,25.83067568,26.73933486,19.67540309,354.4433095
3.146,25.84088752,26.72822594,19.71843393,354.3139992
3.1462,25.89314748,26.74681135,19.69387136,354.0595047
3.1464,25.82451855,26.70600884,19.66660569,353.8050162
3.1466,25.81896231,26.71649587,19.71233875,353.4253492
3.1468,25.83442964,26.75397633,19.7121095,353.2960564
3.147,25.78682697,26.78065856,19.71188026,353.2919477
3.1472,25.79178282,26.77224919,19.71165102,353.4130188
3.1474,25.68111358,26.76114074,19.71682879,353.3463195
3.1476,25.66504805,26.81481436,19.71389601,353.6551523
3.1478,25.68051624,26.83339698,19.70014951,353.5258639
3.148,25.75379453,26.78180049,19.7215477,353.6469263
3.1482,25.80604936,26.78148901,19.68887775,353.5176407
3.1484,25.70064173,26.82166428,19.65350521,353.2006015
3.1486,25.75289595,26.7889633,19.65868327,353.2590784
3.1488,25.75259643,26.77785551,19.66656448,353.0672175
3.149,25.77857286,26.80993233,19.62578691,353.063111
3.1492,25.77827303,26.82581445,19.63637154,352.9964219
3.1494,25.82526882,26.77692116,19.6550655,352.8671523
3.1496,25.77767337,26.74152364,19.63861791,353.0507915
3.1498,25.77211859,26.71422362,19.65460827,353.0466851
3.15,25.86640676,26.74360042,19.67870754,353.2303177
3.1502,25.85034142,26.70550566,19.66226024,353.351367
3.1504,25.73443593,26.69170101,19.68906189,353.5975699
3.1506,25.81295713,26.71837825,19.69694188,353.9063444
3.1508,25.81791151,26.71536872,19.71833654,353.7144974
3.151,25.81235661,26.7582373,19.6937807,353.7103829
3.1512,25.71747501,26.74713133,19.69895744,353.6436931
3.1514,25.72768477,26.79269718,19.70143117,353.7021539
3.1516,25.65907833,26.75190629,19.69849914,353.885761
3.1518,25.73759488,26.76508801,19.69556718,353.8190712
3.152,25.76882112,26.76477665,19.69263528,353.627238
3.1522,25.73699607,26.74017861,19.69510894,353.4354092
3.1524,25.66313854,26.73447056,19.64623085,353.3061556
3.1526,25.63131544,26.74495338,19.63519154,353.677467
3.1528,25.73084383,26.75813437,19.63496311,353.5482134
3.153,25.73579846,26.76052148,19.62392418,353.2312565
